"S1","S2","S3","EC"
0.918391,-0.338654,0.204625,77475.525
0.918792,-0.338414,0.203217,77949.475
0.918792,-0.338414,0.203217,77662.6
0.918352,-0.339272,0.203774,77590.675
0.918379,-0.339126,0.203897,77771.5
0.91755,-0.341291,0.204017,77777.425
0.91696,-0.342253,0.205057,77931
0.916541,-0.342965,0.205737,77462.825
0.917048,-0.341893,0.205262,77474.025
0.91655,-0.343206,0.205292,77916.3
0.916115,-0.344965,0.204283,77505.775
0.915743,-0.345877,0.204411,77730.45
0.915346,-0.346358,0.205374,77455.95
0.91488,-0.347024,0.206321,77573.9
0.914997,-0.34709,0.205691,77626.05
0.914645,-0.348396,0.20505,77549.075
0.914667,-0.348115,0.205428,77772.4
0.914619,-0.347916,0.205978,77665.8
0.914573,-0.347748,0.206462,77451.925
0.914627,-0.348029,0.205749,77296.875
