"S1","S2","S3","EC"
0.823461,-0.548694,0.144386,97215.85
0.824116,-0.547762,0.144185,97373.25
0.824052,-0.547626,0.145064,96630.325
0.824207,-0.547402,0.145033,97152.8
0.82392,-0.547963,0.144542,97337.225
0.823524,-0.548451,0.144946,97119.6
0.824155,-0.547651,0.144386,97200.375
0.824227,-0.54732,0.145228,96443.875
0.824856,-0.54652,0.144667,97239.775
0.825712,-0.545585,0.143308,97102.775
0.826455,-0.544389,0.143572,96653.175
0.826507,-0.544333,0.143483,96495.775
0.827048,-0.54371,0.142726,97113.8
0.826156,-0.545001,0.14297,97310.45
0.825959,-0.545206,0.143327,96656.575
0.826026,-0.544972,0.143828,96167.075
0.825768,-0.545228,0.144338,97197.45
0.825375,-0.545669,0.144919,97334.9
0.824364,-0.54703,0.145541,96900.65
0.824379,-0.547089,0.145234,96811.825
0.824005,-0.547626,0.145331,97257.975
0.823614,-0.548152,0.145564,97470.35
0.823731,-0.547952,0.145658,97099.275
0.82386,-0.547621,0.146171,96797.2
0.82353,-0.548287,0.145531,97187.8
0.823835,-0.547984,0.144945,97314.45
0.823383,-0.548371,0.146048,96908.225
0.823688,-0.548068,0.145462,97203.8
0.823635,-0.548124,0.14555,97004.075
0.82411,-0.547567,0.144961,97247.575
0.823888,-0.548109,0.144167,96724
0.823737,-0.548329,0.144195,96969.975
0.823159,-0.549187,0.144232,97046
0.82281,-0.549551,0.144837,97444.6
0.822456,-0.54973,0.146162,96795.25
0.822206,-0.550143,0.146012,96853.875
0.821601,-0.550967,0.146314,96990.65
0.821838,-0.550898,0.145239,97144.525
0.821761,-0.550938,0.145523,97149.925
0.821481,-0.551111,0.146444,96683.575
0.821416,-0.551339,0.145951,96970.35
0.820612,-0.552443,0.146299,97165.425
0.819984,-0.553342,0.146421,96780.8
0.819257,-0.554488,0.146155,96866.525
0.819588,-0.554078,0.145853,96777.325
0.819185,-0.554536,0.146376,97225.75
0.819367,-0.554527,0.145389,97014.4
0.819124,-0.554956,0.145121,96290.5
0.818956,-0.555389,0.144409,96632.875
0.818553,-0.555846,0.144932,97141.7
0.818309,-0.556275,0.144664,96976.25
0.818346,-0.556162,0.144892,96559.325
0.818403,-0.556297,0.14405,96491.25
0.817689,-0.557405,0.14382,96813.875
0.816932,-0.558626,0.143383,97630.625
0.817032,-0.558701,0.142523,97021.6
0.816271,-0.559923,0.142084,96610.55
0.815812,-0.56093,0.140741,97238.425
0.815546,-0.561325,0.140705,97287.125
0.814434,-0.562803,0.141245,96585.75
0.813626,-0.564157,0.140496,96601.2
0.812929,-0.56515,0.14054,97129.95
0.812696,-0.565218,0.14161,97300.975
0.812979,-0.564883,0.141323,96822.675
0.812575,-0.565334,0.141844,96470.575
0.812109,-0.566028,0.141745,96744.8
0.812485,-0.565663,0.141041,97099.725
0.812485,-0.565663,0.141041,96561.625
0.812374,-0.565941,0.140567,96403.95
0.811673,-0.56711,0.139906,96414.35
0.811905,-0.567041,0.138834,97345.275
0.812122,-0.56692,0.138054,96849.75
0.81179,-0.567586,0.137271,96331.225
0.810927,-0.568995,0.136537,96857.325
0.811135,-0.568461,0.137524,97607.3
0.810884,-0.568884,0.137256,96854.25
0.811351,-0.56834,0.136745,96512.75
0.81094,-0.569155,0.135792,96736.875
0.810454,-0.569791,0.136027,97157.075
0.810019,-0.57022,0.136815,97473.875
0.809425,-0.570984,0.137145,96847.05
0.809327,-0.571306,0.136381,96713.775
0.809808,-0.570815,0.135579,97058.975
0.81006,-0.570394,0.135847,96688.75
0.809949,-0.570603,0.135625,96697.05
0.809541,-0.571225,0.135444,96551.575
0.809337,-0.571576,0.135184,97323.175
0.809341,-0.571436,0.135752,97113.375
0.80893,-0.572147,0.135207,96854
0.808319,-0.5734,0.133539,96337.15
0.808091,-0.573471,0.134614,97507.825
0.808319,-0.5734,0.133539,96901.55
0.808661,-0.573057,0.132936,97002.1
0.808907,-0.572896,0.132133,96175.875
0.808405,-0.57353,0.132458,97379.525
0.807759,-0.574725,0.13121,96852.45
0.807754,-0.574861,0.130644,96826.55
0.808333,-0.574184,0.130037,96186.5
0.807915,-0.574897,0.129485,96724.725
0.807496,-0.575611,0.128931,96908.925
0.807965,-0.575067,0.128416,96727.225
0.807965,-0.575067,0.128416,96152.325
0.807927,-0.575234,0.127906,97022.725
0.808151,-0.575159,0.126825,96962.8
0.808249,-0.574976,0.127028,96617.55
0.808487,-0.574641,0.12703,96603.25
0.808551,-0.574533,0.127113,96819.65
0.808211,-0.574876,0.12772,96827.5
0.807549,-0.575749,0.127975,96855.775
0.807369,-0.576108,0.127494,96665.3
0.80713,-0.576443,0.127492,96629.6
0.807195,-0.576334,0.127574,96947.175
0.807698,-0.5757,0.127251,97067.05
0.807243,-0.576271,0.12756,96612.95
0.807118,-0.576396,0.127785,96945.725
0.806795,-0.576926,0.127432,96953.625
0.806705,-0.576959,0.127849,96680.075
0.806829,-0.577068,0.126567,96708.6
0.806817,-0.577021,0.12686,96541.775
0.807287,-0.576477,0.126344,96851
0.806805,-0.576973,0.127153,96640.175
0.806157,-0.577762,0.127677,96512
0.80565,-0.578398,0.128,96530.85
0.806238,-0.577587,0.127957,96823.875
0.805295,-0.578964,0.12767,96960.575
0.804862,-0.579593,0.127552,96795.85
0.804769,-0.579953,0.126493,96397.55
0.804245,-0.580615,0.126792,97124.175
0.804505,-0.580195,0.127063,96997.825
0.804225,-0.580518,0.127364,96915.45
0.804618,-0.580058,0.126973,96331.175
0.804067,-0.580662,0.127699,96744.2
0.803515,-0.581266,0.128426,96881.35
0.80374,-0.581193,0.127345,96638.275
0.804096,-0.580828,0.126761,96756.075
0.804213,-0.580562,0.127233,97028.675
0.804924,-0.57943,0.127894,97051.7
0.80435,-0.580158,0.128208,96971.25
0.804494,-0.580003,0.128006,96540.225
0.805279,-0.578919,0.127979,96961.275
0.805687,-0.578467,0.127452,97081.1
0.80623,-0.577483,0.128482,96596.35
0.80654,-0.576941,0.12897,96762.3
0.806751,-0.576566,0.129323,96963.325
0.806978,-0.576492,0.128232,97344.25
